Name;Path;Data Type;Logical Address;Comment;Hmi Visible
Gabel_Eingefahren;Warehouse;Bool;%M62.7;;True
Ist_X;Warehouse;Real;%MD96;;True
Ist_Z;Warehouse;Real;%MD100;;True
Soll_X;Warehouse;Real;%MD104;;True
Soll_Z;Warehouse;Real;%MD108;;True
Home_X;Warehouse;Real;%MD112;;True
Home_Z;Warehouse;Real;%MD116;;True
Ausgabe_X;Warehouse;Real;%MD120;;True
Ausgabe_Z;Warehouse;Real;%MD124;;True
Fahre_Zu_Position;Warehouse;Bool;%M63.0;;True
Palette_Aufnehmen_Cmd;Warehouse;Bool;%M63.1;;True
Palette_Ablegen_Cmd;Warehouse;Bool;%M63.2;;True
Gabel_Rechts_Cmd;Warehouse;Bool;%M63.3;;True
Gabel_Links_Cmd;Warehouse;Bool;%M63.4;;True
Gabel_Mitte_Cmd;Warehouse;Bool;%M63.5;;True
HRL_Busy;Warehouse;Bool;%M64.0;;True
HRL_Done;Warehouse;Bool;%M64.1;;True
HRL_Error;Warehouse;Bool;%M64.2;;True
HRL_Mode_Auto;Warehouse;Bool;%M64.3;;True
HRL_Mode_Hand;Warehouse;Bool;%M64.4;;True
HRL_Mode_Einricht;Warehouse;Bool;%M64.5;;True
HMI_State;Warehouse;Int;%MW128;;True
HMI_Ziel_Fach;Warehouse;Int;%MW130;;True
HRL_Anzahl_Belegt;Warehouse;UInt;%MW132;;True
HRL_Anzahl_Frei;Warehouse;UInt;%MW134;;True
5b_Diffuse Sensor 48;Warehouse;Bool;%E13.4;;True
5b_Pallet_vor_Regal;2b_VisionDataSensors;Bool;%E14.3;;True
5b_Loading Conveyor 1;2b_VisionDataSensors;Bool;%A14.3;;True
5b_Stacker Crane 0 Moving-X;Warehouse_1_FIO;Bool;%E13.6;;True
5b_Stacker Crane 0 Moving-Z;Warehouse_1_FIO;Bool;%E13.7;;True
5b_Stacker Crane 0 Left Limit;Warehouse_1_FIO;Bool;%E14.0;;True
5b_Stacker Crane 0 Right Limit;Warehouse_1_FIO;Bool;%E14.1;;True
5b_Stacker Crane 0 Middle Limit;Warehouse_1_FIO;Bool;%E14.2;;True
5b_Stacker Crane 0 X Position (V);Warehouse_1_FIO;Real;%ED162;;True
5b_Stacker Crane 0 Z Position (V);Warehouse_1_FIO;Real;%ED166;;True
5b_Stacker Crane 0 (Left);Warehouse_1_FIO;Bool;%A14.0;;True
5b_Stacker Crane 0 (Right);Warehouse_1_FIO;Bool;%A14.1;;True
5b_Stacker Crane 0 X Set Point (V);Warehouse_1_FIO;Real;%AD136;;True
5b_Stacker Crane 0 Z Set Point (V);Warehouse_1_FIO;Real;%AD140;;True
5b_Pallet_vor_Regal_E13;Warehouse_1_FIO;Bool;%E13.3;;True
5b_RFID Reader 5 Status;5b_RFID;DInt;%ED150;;True
5b_RFID Reader 5 Read Data;5b_RFID;DInt;%ED154;;True
5b_RFID Reader 5 Command ID;5b_RFID;DInt;%ED158;;True
5b_RFID Reader 5 Execute Command;5b_RFID;Bool;%A13.7;;True
5b_RFID Reader 5 Command;5b_RFID;DInt;%AD124;;True
5b_RFID Reader 5 Write Data;5b_RFID;DInt;%AD128;;True
5b_RFID Reader 5 Memory Index;5b_RFID;DInt;%AD132;;True
RFID_5b_Busy;5b_RFID;Bool;%M65.1;;True
RFID_5b_Done;5b_RFID;Bool;%M65.2;;True
RFID_5b_Error;5b_RFID;Bool;%M65.3;;True
RFID_5b_State;5b_RFID;Int;%MW136;;True
RFID_5b_Status_Code;5b_RFID;Int;%MW138;;True
RFID_5b_Bereit;5b_RFID;Bool;%M65.4;;True
RFID_5b_Gueltig;5b_RFID;Bool;%M65.5;;True
RFID_5b_Fehler;5b_RFID;Bool;%M65.6;;True
RFID_5b_Code_Out;5b_RFID;UDInt;%MD140;;True
RFID_5b_Artikelnummer_Out;5b_RFID;UInt;%MW144;;True
RFID_5b_Materialart_Out;5b_RFID;USInt;%MB146;;True
RFID_5b_ProductTyp_Out;5b_RFID;UInt;%MW148;;True
HMI_5a_Offset;Warehouse;Real;%MD52;;True
